[TABLES]
## NEW_YORK_CITIBIKE.CITIBIKE_TRIPS
start_station_longitude: FLOAT | Start Station Longitude | eg=[-73.95928168, -74.01043382]
last_reported: NUMBER | Timestamp indicating the last time this station reported its status to the backend, in NYC local time. | eg=[1726578102000000, 1726661906000000]
is_returning: BOOLEAN | Is the station accepting bike returns? | eg=[false]
num_docks_disabled: NUMBER | Number of empty but disabled dock points at the station. | eg=[0]

## GEO_US_BOUNDARIES.ADJACENT_STATES
state: TEXT | NULL | eg=["AZ", "CA"]
neighbors_fips_code: VARIANT | NULL | eg=[["32","35","08","06","49"], ["04","32","41"]]
state_fips_code: TEXT | NULL | eg=["04", "06"]
state_name: TEXT | NULL | eg=["Arizona", "California"]
neighbors_state: VARIANT | NULL | eg=[["Nevada","New Mexico","Colorado","California","Utah"], ["Arizona","Nevada","Oregon"]]

## GEO_US_BOUNDARIES.METROPOLITAN_DIVISIONS
area_land_meters: FLOAT | NULL | eg=[2752787746.0, 1853770821.0]
csa_code: TEXT | NULL | eg=["148", "176"]
name: TEXT | NULL | eg=["Rockingham County-Strafford County, NH", "Lake County-Kenosha County, IL-WI"]
internal_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00^\\xdf\\xe2<w\\xc4Q\\xc0\\xf4I\\x93\\xf7\\x16\\x8bE@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xd1u\\xe1\\x07\\xe7\\xdbU\\xc0j\\x89\\x95\\xd1\\xc8)E@')"]
mtfcc_feature_class_code: TEXT | NULL | eg=["G3120"]
internal_point_latitude: FLOAT | NULL | eg=[43.0866384, 42.326441]
geo_id: TEXT | NULL | eg=["1446040484", "1698029404"]
area_water_meters: FLOAT | NULL | eg=[297798686.0, 3643100055.0]
lsad_code: TEXT | NULL | eg=["M3"]
internal_point_longitude: FLOAT | NULL | eg=[-71.0697777, -87.435976]
metdiv_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xe8\\x12\\x00\\x00\\xe6\\xc7_Z\\xd4\\xcfQ\\xc0\\x04h[\\xcd:\\xa3E@\\xc9\\xae\\xb4\\x8c\\xd4\\xcfQ\\xc0X\\xf6$\\xb09\\xa3E@\\xc1oC\\x8c\\xd7\\xcfQ\\xc0\\x90\\xb6\\xf1\\'*\\xa3E@\\x9d\\xd0\\xebO\\xe2\\xcfQ\\xc0\\xee\\xc5\\x17\\xed\\xf1\\xa2E@g\\r\\xdeW\\xe5\\xcfQ\\xc0\\xb6\\x12\\xbaK\\xe2\\xa2E@\\xc0$\\x95)\\xe6\\xcfQ\\xc0\\xe625\\t\\xde\\xa2E@\\xcb\\xd5\\x8fM\\xf2\\xcfQ\\xc0\\xdd\\x8f\\xdb/\\x9f\\xa2E@\\n\\xf5\\xf4\\x11\\xf8\\xcfQ\\xc0Pe\\x18w\\x83\\xa2E@l8,\\r\\xfc\\xcfQ\\xc0\\x8f\\xc56\\xa9h\\xa2E@\\xc3\\x99_\\xcd\\x01\\xd0Q\\xc0\\xf8\\xbc\\xe2\\xa9G\\xa2E@{\\xb9O\\x8e\\x02\\xd0Q\\xc0\\xb3x\\xb10D\\xa2E@Q\\xd8E\\xd1\\x03\\xd0Q\\xc0,y<-?\\xa2E@\\t\\xf85\\x92\\x04\\xd0Q\\xc0cV\\xefp;\\xa2E@\\xdczM\\x0f\\n\\xd0Q\\xc0\\xb1Q\\xd6o&\\xa2E@\\xc2\\x9f\\xe1\\xcd\\x1a\\xd0Q\\xc0q\\xa1\\xf2\\xaf\\xe5\\xa1E@+\\xa0PO\\x1f\\xd0Q\\xc0\\x1b=~o\\xd3\\xa1E@\\x89@\\xf5\\x0f\"\\xd0Q\\xc0\\x14\\xfb\\xcb\\xee\\xc9\\xa1E@\\x13\\xdcH\\xd9\"\\xd0Q\\xc0{(\\xd1\\x92\\xc7\\xa1E@\\xc9\\xe1\\x93N$\\xd0Q\\xc0kY\\xbe.\\xc3\\xa1E@\\x1fF\\x08\\x8f6\\xd0Q\\xc0\\xa4*mq\\x8d\\xa1E@\\xa0\\x88E\\x0c;\\xd0Q\\xc0Y\\xa4\\x89w\\x80\\xa1E@\\x10\\xcbf\\x0eI\\xd0Q\\xc0\\x91^\\xd4...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xb6\\x07\\x00\\x00\\xa8\\x8b\\x14\\xca\\xc2\\x0cV\\xc0\\xce\\x15\\xa5\\x84`?E@\\xa8\\x8b\\x14\\xca\\xc2\\x0cV\\xc0\\xd5\\x06\\'\\xa2_?E@\\xa8\\x8b\\x14\\xca\\xc2\\x0cV\\xc0@\\xf1c\\xcc]?E@\\x90IF\\xce\\xc2\\x0cV\\xc0\\xd1\\xfc1\\xadM?E@_\\xc5\\xa9\\xd6\\xc2\\x0cV\\xc0\\x02\\xc6\\xfa\\x06&?E@0A\\r\\xdf\\xc2\\x0cV\\xc0\\x0f\\xd2S\\xe4\\x10?E@0A\\r\\xdf\\xc2\\x0cV\\xc0\\xd8\\x05\\x83k\\xee>E@0A\\r\\xdf\\xc2\\x0cV\\xc0L\\xc4[\\xe7\\xdf>E@\\x8ari\\xfc\\xc2\\x0cV\\xc0b\\xb3#\\xd5w>E@\\x13B\\x07]\\xc2\\x0cV\\xc0\\xcc\\x8d\\xe9\\tK>E@a\\xf9\\xf3m\\xc1\\x0cV\\xc0\\xd4\\x04Q\\xf7\\x01>E@!>\\xb0\\xe3\\xbf\\x0cV\\xc0K\\xdfk\\x08\\x8e=E@\\xeb\\xfc\\xdbe\\xbf\\x0cV\\xc0\\x99\\xf2!\\xa8\\x1a=E@3\\xc3FY\\xbf\\x0cV\\xc0\\xcd\\x16\\x10Z\\x0f=E@\\x9ey9\\xec\\xbe\\x0cV\\xc0\\\\\\x02\\xf0O\\xa9<E@\\xce\\xfd\\xd5\\xe3\\xbe\\x0cV\\xc0\\x9f<,\\xd4\\x9a<E@\\x94\\xff\\xc9\\xdf\\xbd\\x0cV\\xc0X\\xe4\\xd7\\x0f\\xb1;E@\\x88\\x9f\\xff\\x1e\\xbc\\x0cV\\xc0\\xf7\\x98Hi6;E@\\xee\\xb2_w\\xba\\x0cV\\xc0\\x89\\x8c\\x0eH\\xc2:E@\\x06\\xf5-s\\xba\\x0cV\\xc0\\x81#\\x81\\x06\\x9b:E@6y\\xcaj\\xba\\x0cV\\xc0\\xb0\\x84\\xb51v:E@}?5^\\xba\\x0cV\\xc0\\xd1\\x16\\xd7\\xf8L:E@\\x..."]
cbsa_code: TEXT | NULL | eg=["14460", "16980"]
metdiv_code: TEXT | NULL | eg=["40484", "29404"]
lsad_name: TEXT | NULL | eg=["Rockingham County-Strafford County, NH Metro Division", "Lake County-Kenosha County, IL-WI Metro Division"]

## GEO_US_BOUNDARIES.CBSA
cbsa_fips_code: TEXT | NULL | eg=["23980", "47420"]
name: TEXT | NULL | eg=["Glasgow, KY", "Wahpeton, ND-MN"]
area_water_meters: FLOAT | NULL | eg=[36168371.0, 25517798.0]
cbsa_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xc7\\x05\\x00\\x00\\xc5\\xff\\x1dQ\\xa1oU\\xc0\\xc2\\xb7\\xb0n\\xbc\\x95B@\\xb4Ss\\xb9\\xc1oU\\xc0\\x9b\\xc0tZ\\xb7\\x95B@\\x89\\xcf\\x9d`\\xffoU\\xc0N\\xd2\\xfc1\\xad\\x95B@\\x91E\\x9ax\\x07pU\\xc0\\x00i\\xff\\x03\\xac\\x95B@\\xab8\\xd5Z\\x98qU\\xc0\\xd8\\x10\\x1c\\x97q\\x95B@?\\x1aN\\x99\\x9bqU\\xc0\\x9b\\x12\\x10\\x93p\\x95B@\\xd0\\t\\xa1\\x83.rU\\xc0&n\\x15\\xc4@\\x95B@\\xe1\\xb3up\\xb0rU\\xc0\\x0b\\x02+\\x87\\x16\\x95B@\\x14W\\x95}WsU\\xc0\\x9e\\x1e\\xdb2\\xe0\\x94B@\\x08\\xe6\\xe8\\xf1{sU\\xc0\\xb2\\x08\\xc5V\\xd0\\x94B@3\\xdc\\x80\\xcf\\x0ftU\\xc0\\x08\\xa2\\xee\\x03\\x90\\x94B@\\x8fK\\x1cy tU\\xc0[C\\xa9\\xbd\\x88\\x94B@+\\xdd]gCtU\\xc0\\xe4]\\xf5\\x80y\\x94B@\\x81X6sHtU\\xc0^\\xf6\\xebNw\\x94B@\\x18\\xec\\x86m\\x8btU\\xc0\\x8f\\x10\\xe5\\x0bZ\\x94B@\\x85\\x8f\\x88)\\x91tU\\xc0\\xb3N\\\\\\x8eW\\x94B@|L\\xa44\\x9btU\\xc0\\xa6\\x7fI*S\\x94B@\\x92\\x16.\\xab\\xb0tU\\xc0\\x10\\xb1\\xc1\\xc2I\\x94B@+g\\xef\\x8c\\xb6tU\\xc0\\x93\\xf7q4G\\x94B@ D2\\xe4\\xd8tU\\xc0/}\\xaf!8\\x94B@@J\\xec\\xda\\xdetU\\xc0\\xe3G\\xfc\\x8a5\\x94B@\\xee\\x96\\xe4\\x80]uU\\xc0\\x1dM\\xf5d\\xfe\\x93B@\\xb6H\\xda\\x8d>vU\\xc0\\xf59>Z\\x9c\\x93B@\\x...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00V\\x07\\x00\\x00\\xa4\\xa6]L32X\\xc0\\xa2\\xff\\xe5Z\\xb4PG@\\xbc\\x02\\xd1\\x9322X\\xc0\\x89\\xa3r\\x13\\xb5PG@L\\xdd\\x95]02X\\xc0\\x12?\\xc6\\xdc\\xb5PG@\\xa9\\xaa\\xd0@,2X\\xc0}\\xc1n\\xd8\\xb6PG@C\\x16i\\xe2\\x1d2X\\xc0\\x01l@\\x84\\xb8PG@\\x98\\xd8|\\\\\\x1b2X\\xc0\\x95\\xb5M\\xf1\\xb8PG@\\xfd\\xeb\\xdc\\xb4\\x192X\\xc0\\xf9z\\xbef\\xb9PG@\\x95\\x9d~P\\x172X\\xc0G\\xe4\\xbb\\x94\\xbaPG@\\x12A\\x9c\\x87\\x132X\\xc0b\\x95\\xd23\\xbdPG@\\x13[A\\xd3\\x122X\\xc0\\xd9\\xc54\\xd3\\xbdPG@\\xa9\\x0c\\xe3n\\x102X\\xc0>#\\x11\\x1a\\xc1PG@\\xc8Y\\xd8\\xd3\\x0e2X\\xc0)P\\x8b\\xc1\\xc3PG@.S\\x93\\xe0\\r2X\\xc0\\xbd1\\x04\\x00\\xc7PG@RC\\x1b\\x80\\r2X\\xc0\\xe5\\x90\\xd4B\\xc9PG@\\xe1\\xcf\\xf0f\\r2X\\xc02\\xfa\\xd1p\\xcaPG@\\xd5!7\\xc3\\r2X\\xc0y>\\x03\\xea\\xcdPG@W\\xe6\\xad\\xba\\x0e2X\\xc0\\r |(\\xd1PG@\\x8c\\'\\x828\\x0f2X\\xc0\\xa5&\\xc1\\x1b\\xd2PG@\\x15\\x8f\\x8bj\\x112X\\xc0\\x8cb\\xb9\\xa5\\xd5PG@\\\\;Q\\x12\\x122X\\xc0\\x14\\xfe\\x0co\\xd6PG@+\\x83j\\x83\\x132X\\xc0bg\\n\\x9d\\xd7PG@CwI\\x9c\\x152X\\xc0\\xd6c\"\\xa5\\xd9PG@\\xa01\\x93\\xa8\\x172X\\xc0\\xc4\\xc4\\xe6\\xe3\\xdaPG@\\xf9HJz\\x182X\\xc0\\xe9\\x9a\\xc97\\xdbPG@\\xf..."]
csa_geo_id: TEXT | NULL | eg=["150", "244"]
lsad_code: TEXT | NULL | eg=["M2"]
msa_indicator: TEXT | NULL | eg=["2"]
area_land_meters: FLOAT | NULL | eg=[2013003235.0, 5663458888.0]
internal_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00(`;\\x181tU\\xc0\\x84\\t\\xa3Y\\xd9{B@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x1c\\xba4\\xd9\\x9a2X\\xc0\\xf6\\x13)(\\xa0%G@')"]
lsad_name: TEXT | NULL | eg=["Glasgow, KY Micro Area", "Wahpeton, ND-MN Micro Area"]
internal_point_longitude: FLOAT | NULL | eg=[-85.8154965, -96.7907012]
internal_point_latitude: FLOAT | NULL | eg=[36.9675705, 46.2939501]
mtfcc_feature_class_code: TEXT | NULL | eg=["G3110"]
geo_id: TEXT | NULL | eg=["23980", "47420"]

## GEO_US_BOUNDARIES.CONGRESS_DISTRICT_116
lsad_name: TEXT | NULL | eg=["Congressional District 8", "Congressional District 3"]
lsad_code: TEXT | NULL | eg=["C2"]
congress_session: TEXT | NULL | eg=["116"]
district_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\x88I\\x00\\x00\\x07\\x8bQ\\xd7\\xda\\xa3^\\xc0r4GV~wG@\\n\\xe0\\xf4.\\xde\\xa3^\\xc0r\\x9c\\xdb\\x84{wG@%\\x90\\x12\\xbb\\xb6\\xa3^\\xc0\\xdd\\xc7\\xd1\\x1cYwG@\\xa4\\xff\\xe5Z\\xb4\\xa3^\\xc0g\\xcb\\xb9\\x14WwG@\\\\\\'\\xbc\\x04\\xa7\\xa3^\\xc0\\x08rP\\xc2LwG@\\x0b5\\xd1\\xe7\\xa3\\xa3^\\xc0\\x9d#\\xf2]JwG@\\xae\\xe2\\x1b\\n\\x9f\\xa3^\\xc0\\x1by \\xb2HwG@\\x88P3\\xa4\\x8a\\xa3^\\xc0\\xef\\xf8\\xf6\\xaeAwG@q\\x90\\x9e\"\\x87\\xa3^\\xc0\\x80\\xb9\\x16-@wG@\\xd19?\\xc5q\\xa3^\\xc0\\xcb\\x05.\\x8f5wG@%4\\x10\\xcbf\\xa3^\\xc0\\xb2\\xbc\\xab\\x1e0wG@cE\\r\\xa6a\\xa3^\\xc0\\x01\\x8e={.wG@\\xe1}U.T\\xa3^\\xc0_2U0*wG@z\\x8c\\x80\\nG\\xa3^\\xc0\\x03\\xc6\\xfa\\x06&wG@uYLl>\\xa3^\\xc0\\xa5%VF#wG@)c\\n\\xd68\\xa3^\\xc0\\xb2\\x07Z\\x81!wG@}\\xf3\\x1b&\\x1a\\xa3^\\xc0K\\x0e\\x9ft\"wG@*\\x011\\t\\x17\\xa3^\\xc0q\\xe4\\x81\\xc8\"wG@7\\xfd\\xd9\\x8f\\x14\\xa3^\\xc0\\n\\xeb\\xc6\\xbb#wG@\\x0f\\xa90\\xb6\\x10\\xa3^\\xc0\\x04\\xfaD\\x9e$wG@y\\x9b7N\\n\\xa3^\\xc0\\xd4u\\xa8\\xa6$wG@\\xe90\\xed\\x9b\\xfb\\xa2^\\xc0vmo\\xb7$wG@\\xd3pX\\x1a\\xf8\\xa2^\\xc0@`\\xe5\\xd0\"wG@\\xe7\\x96VC\\xe2\\xa2^\\xc0\\x11\\x8b\\x18v\\x18wG@v\\x8b\\xc0X\\xdf\\xa2^\\...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00 ,\\x00\\x00\\xa7\\x06\\x9a\\xcf\\xb9\\xcbW\\xc0\\xfe\\xd5\\xe3\\xbe\\xd5\\xb4G@w\\x82\\xfd\\xd7\\xb9\\xcbW\\xc0V[\\xb1\\xbf\\xec\\xb2G@\\x1e\\xd3\\xda4\\xb6\\xcbW\\xc0+\\xb5\\xdeo\\xb4\\xafG@\\x0eh\\xe9\\n\\xb6\\xcbW\\xc0\\xce\\xe0\\xef\\x17\\xb3\\xafG@\\xd8\\x0cpA\\xb6\\xcbW\\xc0?\\xdbj\\xd6\\x19\\xafG@\\x1f\\xb95\\xe9\\xb6\\xcbW\\xc0\\x08\\xda\\xe4\\xf0I\\xadG@\\xd2\\x1b\\xee#\\xb7\\xcbW\\xc0\\xbb\\x8f\\xa39\\xb2\\xacG@x\\xea\\x91\\x06\\xb7\\xcbW\\xc0\\x1c\\x00qW\\xaf\\xacG@\\x9c\\xda\\x19\\xa6\\xb6\\xcbW\\xc0e[\\x06\\x9c\\xa5\\xacG@\\xc1\\xca\\xa1E\\xb6\\xcbW\\xc0P\\x9f\\xe4\\x0e\\x9b\\xacG@\\xa8\\xa2x\\x95\\xb5\\xcbW\\xc0g\\xf1ba\\x88\\xacG@\\xf1h\\xe3\\x88\\xb5\\xcbW\\xc0W\\xba\\xbb\\xce\\x86\\xacG@\\xc7\\xbb#c\\xb5\\xcbW\\xc0h\\xc1\\x8b\\xbe\\x82\\xacG@\\xb4P29\\xb5\\xcbW\\xc0|\\xc8[\\xae~\\xacG@\\x81\\x0f^\\xbb\\xb4\\xcbW\\xc06P\\xe0\\x9d|\\xacG@\\x98\\x85vN\\xb3\\xcbW\\xc0\\xd4Z\\x98\\x85v\\xacG@J\\x02\\xd4\\xd4\\xb2\\xcbW\\xc0^^\\x80}t\\xacG@-\\xe9(\\x07\\xb3\\xcbW\\xc0\\xe3\\xd8z\\x86p\\xacG@\\xd3\\x9d\\'\\x9e\\xb3\\xcbW\\xc0rHj\\xa1d\\xacG@\\xb6\\x84|\\xd0\\xb3\\xcbW\\xc0\\xf8\\xc2d\\xaa`\\xacG@\\x13s\\x10t\\xb4\\xcbW\\xc0\\x8..."]
int_point_lon: FLOAT | NULL | eg=[-121.0393849, -92.9638699]
state_fips_code: TEXT | NULL | eg=["53", "27"]
geo_id: TEXT | NULL | eg=["5308", "2708"]
mtfcc_feature_class_code: TEXT | NULL | eg=["G5200"]
area_water_meters: NUMBER | NULL | eg=[369956145, 12448157466]
int_point_lat: FLOAT | NULL | eg=[47.3623847, 47.250337]
district_fips_code: TEXT | NULL | eg=["08", "03"]
int_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x004]>H\\x85B^\\xc0\\x0f\\x891\\x9fb\\xaeG@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00S\\x86`\\x0b\\xb0=W\\xc0H\\xfd\\xf5\\n\\x0b\\xa0G@')"]
area_land_meters: NUMBER | NULL | eg=[19060921511, 72282135057]
functional_status: BOOLEAN | NULL | eg=[false]

## GEO_US_BOUNDARIES.CSA
internal_point_lon: FLOAT | NULL | eg=[-101.5947616, -86.7482873]
internal_point_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xaa:\\xf5\\x92\\x10fY\\xc0\\xb9)\\xd4\\x89\\xba\\xb2A@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xc7`j\\xf0\\xe3\\xafU\\xc05Lm\\xa9\\x83\\xc3@@')"]
geo_id: TEXT | NULL | eg=["108", "142"]
internal_point_lat: FLOAT | NULL | eg=[35.3963177, 33.5274555]
lsad_name: TEXT | NULL | eg=["Amarillo-Pampa-Borger, TX CSA", "Birmingham-Hoover-Talladega, AL CSA"]
area_water_meters: FLOAT | NULL | eg=[115547029.0, 347190038.0]
area_land_meters: FLOAT | NULL | eg=[20428899559.0, 17485172162.0]
msa_lsad_code: TEXT | NULL | eg=["M0"]
mtfcc_feature_class_code: TEXT | NULL | eg=["G3100"]
name: TEXT | NULL | eg=["Amarillo-Pampa-Borger, TX", "Birmingham-Hoover-Talladega, AL"]
csa_geom: BINARY | NULL | eg=["bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xfa\\x07\\x00\\x00\\xd8\\xfb\\x8dv\\xdcgY\\xc0\\x82\\xeb\\x8a\\x19\\xe1\\xcfA@6\\x04\\xc7e\\xdcgY\\xc0\\xdc\\xe9\\xce\\x13\\xcf\\xcfA@f\\x88c]\\xdcgY\\xc0\\x9e\\xfe\\xb3\\xe6\\xc7\\xcfA@v\\xca1Y\\xdcgY\\xc0\\x9b\\xa9\\x10\\x8f\\xc4\\xcfA@\\x8f\\x0c\\x00U\\xdcgY\\xc0\\xde4}v\\xc0\\xcfA@\\xb2\\xfc\\x87\\xf4\\xdbgY\\xc0\\x15\\x8e \\x95b\\xcfA@\\x03\\xbb(z\\xe0gY\\xc0C\\x12\\xbd\\x8cb\\xcfA@7\\xae\\r\\x15\\xe3gY\\xc0C\\x12\\xbd\\x8cb\\xcfA@\\xc1X\\xdf\\xc0\\xe4gY\\xc0C\\x12\\xbd\\x8cb\\xcfA@\\xfb\"\\xa1-\\xe7gY\\xc0C\\x12\\xbd\\x8cb\\xcfA@\\xe3<*\\xfe\\xefgY\\xc0\\x15\\x8e \\x95b\\xcfA@\\x01\\x90\\xa1c\\x07hY\\xc0\\xb8!\\xc6k^\\xcfA@\\x8bq\\xfe&\\x14hY\\xc0\\xb8!\\xc6k^\\xcfA@\\'\\x1eP6\\xe5hY\\xc0\\x88\\x9d)t^\\xcfA@t\\xbb%9`iY\\xc0(\\x95\\xf0\\x84^\\xcfA@q\\xd1W\\x90fiY\\xc0(\\x95\\xf0\\x84^\\xcfA@Q6sHjiY\\xc0)\\x95\\xf0\\x84^\\xcfA@\\xe7\\xc5\\x89\\xafviY\\xc0\\xf8\\x10T\\x8d^\\xcfA@(F\\x96\\xcc\\xb1iY\\xc0\\xb8!\\xc6k^\\xcfA@Ve\\xdf\\x15\\xc1iY\\xc0\\xb8!\\xc6k^\\xcfA@\\xff\\x94*Q\\xf6iY\\xc0\\x16*\\xffZ^\\xcfA@\\xcb2\\xc4\\xb1.jY\\xc0u28J^\\xcfA@\\xbb\\x0c\\xff\\xe9\\x06kY\\xc0\\xf2S\\x1c\\x07^\\xcfA@\\xc5\\x90\\x9cL\\xdc...", "bytearray(b'\\x01\\x03\\x00\\x00\\x00\\x01\\x00\\x00\\x00\\xc4\\x18\\x00\\x006\\xe34D\\x15\\xd1U\\xc0\\xc2\\x15P\\xa8\\xa7\\xc1@@\\xb2\\x7f\\x9e\\x06\\x0c\\xd1U\\xc0\\xf4\\x18\\xe5\\x99\\x97\\xc1@@\\xf5\\x9f5?\\xfe\\xd0U\\xc0a\\xfd\\x9f\\xc3|\\xc1@@\\x94\\xaa\\xed&\\xf8\\xd0U\\xc0\\x99\\x89\"\\xa4n\\xc1@@\\xf4h\\xaa\\'\\xf3\\xd0U\\xc0zS\\x91\\nc\\xc1@@\\x95C\\x8bl\\xe7\\xd0U\\xc0\\x93\\xa9\\x82QI\\xc1@@f\\xd9\\x93\\xc0\\xe6\\xd0U\\xc0\\xce\\x0f#\\x84G\\xc1@@3NCT\\xe1\\xd0U\\xc0\\xff\\xdem\\xde8\\xc1@@\\xf82Q\\x84\\xd4\\xd0U\\xc0\\xb2\\x82\\xdf\\x86\\x18\\xc1@@ A\\xf1c\\xcc\\xd0U\\xc0\\xb4il\\xaf\\x05\\xc1@@\\xcfh\\xab\\x92\\xc8\\xd0U\\xc0s\\xf5c\\x93\\xfc\\xc0@@2uWv\\xc1\\xd0U\\xc0M\\xe1A\\xb3\\xeb\\xc0@@Y\\x83\\xf7U\\xb9\\xd0U\\xc0\\xda\\xff\\x00k\\xd5\\xc0@@h\\xe74\\x0b\\xb4\\xd0U\\xc0\\xbdx?n\\xbf\\xc0@@\\x10\\x1em\\x1c\\xb1\\xd0U\\xc07\\xc4x\\xcd\\xab\\xc0@@|\\xd4_\\xaf\\xb0\\xd0U\\xc0\\x7f\\x0c\\x1d;\\xa8\\xc0@@X\\xfe|[\\xb0\\xd0U\\xc0R\\xf0\\x14r\\xa5\\xc0@@\\xb3I~\\xc4\\xaf\\xd0U\\xc0\\xc9\\xf0\\x9fn\\xa0\\xc0@@k\\x9d\\xb8\\x1c\\xaf\\xd0U\\xc0n\\xb8\\x8f\\xdc\\x9a\\xc0@@\\xe8\\xbe\\x9c\\xd9\\xae\\xd0U\\xc0\\x16\\xd5\"\\xa2\\x98\\xc0@@\\xc5\\x1c\\x04\\x1d\\xad\\xd0U\\xc0\\xa6\\xac\\xa6\\xe..."]
csa_code: TEXT | NULL | eg=["108", "142"]

## GEO_US_BOUNDARIES.NATIONAL_OUTLINE
aff_geo_id: TEXT | NULL | eg=["0100000US"]
